date,nav,cash,holdings_value,gross_exposure,positions,benchmark_nav,cumulative_fees,cumulative_notional
2018-01-01,1000000.0,1000000.0,0.0,0.0,0,999999.9999999999,0.0,0.0
2018-01-02,1000000.0,1000000.0,0.0,0.0,0,1007456.3117009286,0.0,0.0
2018-01-03,1000000.0,1000000.0,0.0,0.0,0,1012661.239793683,0.0,0.0
2018-01-04,1000000.0,1000000.0,0.0,0.0,0,1014811.7210644467,0.0,0.0
2018-01-05,1000000.0,1000000.0,0.0,0.0,0,1005512.4213701874,0.0,0.0
2018-01-08,1000000.0,1000000.0,0.0,0.0,0,1010330.2549101884,0.0,0.0
2018-01-09,1000000.0,1000000.0,0.0,0.0,0,1004308.2928865331,0.0,0.0
2018-01-10,1000000.0,1000000.0,0.0,0.0,0,1014426.724867268,0.0,0.0
2018-01-11,1000000.0,1000000.0,0.0,0.0,0,1003068.8918869048,0.0,0.0
2018-01-12,1000000.0,1000000.0,0.0,0.0,0,1002007.6162322462,0.0,0.0
2018-01-15,1000000.0,1000000.0,0.0,0.0,0,1002121.6265586752,0.0,0.0
2018-01-16,1000000.0,1000000.0,0.0,0.0,0,990423.7165839574,0.0,0.0
2018-01-17,1000000.0,1000000.0,0.0,0.0,0,1006073.6844005784,0.0,0.0
2018-01-18,1000000.0,1000000.0,0.0,0.0,0,1019567.9660087199,0.0,0.0
2018-01-19,1000000.0,1000000.0,0.0,0.0,0,1015505.7060483953,0.0,0.0
2018-01-22,1000000.0,1000000.0,0.0,0.0,0,1022767.5235802517,0.0,0.0
2018-01-23,1000000.0,1000000.0,0.0,0.0,0,1026443.8916242316,0.0,0.0
2018-01-24,1000000.0,1000000.0,0.0,0.0,0,1002762.0684256726,0.0,0.0
2018-01-25,1000000.0,1000000.0,0.0,0.0,0,1005205.3440427172,0.0,0.0
2018-01-26,1000000.0,1000000.0,0.0,0.0,0,1004831.3800124901,0.0,0.0
2018-01-29,1000000.0,1000000.0,0.0,0.0,0,1005765.2580328091,0.0,0.0
2018-01-30,1000000.0,1000000.0,0.0,0.0,0,996243.9001120847,0.0,0.0
2018-01-31,1000000.0,1000000.0,0.0,0.0,0,994010.7125592633,0.0,0.0
2018-02-01,1000038.9740992611,709624.820614424,290414.15348483715,0.2904028352959086,15,992595.9222063938,80.54448147609747,290294.6349040998
2018-02-02,1001685.2942738971,709624.820614424,292060.4736594732,0.2915690939350191,15,1003447.1517321665,80.54448147609747,290294.6349040998
2018-02-05,1003345.7797433811,709624.820614424,293720.9591289571,0.2927415105130358,15,1006653.101671334,80.54448147609747,290294.6349040998
2018-02-06,1003289.1802216568,709624.820614424,293664.3596072328,0.29270161125664035,15,1006783.9798413905,80.54448147609747,290294.6349040998
2018-02-07,1005246.3034735345,709624.820614424,295621.48285911063,0.2940786569795067,15,1020917.5708442535,80.54448147609747,290294.6349040998
2018-02-08,1003947.8838595406,709624.820614424,294323.0632451166,0.29316567919206304,15,1016011.4012625677,80.54448147609747,290294.6349040998
2018-02-09,1004282.9824738533,709624.820614424,294658.1618594294,0.2934015282561067,15,1012638.9023188005,80.54448147609747,290294.6349040998
2018-02-12,1000612.7002716665,709624.820614424,290987.8796572426,0.29080970047475846,15,996395.4151323793,80.54448147609747,290294.6349040998
2018-02-13,1004284.8212845356,709624.820614424,294660.0006701116,0.2934028220134058,15,1010748.2069718561,80.54448147609747,290294.6349040998
2018-02-14,1006112.3554318307,709624.820614424,296487.5348174068,0.29468630736589274,15,1019742.1965737782,80.54448147609747,290294.6349040998
2018-02-15,1010512.8592446737,709624.820614424,300888.0386302498,0.2977577532809964,15,1028376.6379830941,80.54448147609747,290294.6349040998
2018-02-16,1012202.2317480762,709624.820614424,302577.41113365226,0.29892980043237033,15,1034772.4684585338,80.54448147609747,290294.6349040998
2018-02-19,1014234.4805565362,709624.820614424,304609.6599421123,0.3003345535787397,15,1035985.2461836641,80.54448147609747,290294.6349040998
2018-02-20,1013075.8747323094,709624.820614424,303451.0541178854,0.29953438008586275,15,1038183.2421774501,80.54448147609747,290294.6349040998
2018-02-21,1014846.391913113,709624.820614424,305221.57129868894,0.30075642356407056,15,1036017.7156513587,80.54448147609747,290294.6349040998
2018-02-22,1015347.5097719203,709624.820614424,305722.68915749626,0.30110153047617305,15,1034307.2096210696,80.54448147609747,290294.6349040998
2018-02-23,1015546.5528997008,709624.820614424,305921.7322852768,0.3012385118257506,15,1034999.1157970268,80.54448147609747,290294.6349040998
2018-02-26,1017873.2136011277,709624.820614424,308248.3929867038,0.30283574502973076,15,1049366.9084778985,80.54448147609747,290294.6349040998
2018-02-27,1017817.2518995216,709624.820614424,308192.4312850977,0.30279741349434536,15,1054817.9883306713,80.54448147609747,290294.6349040998
2018-02-28,1016884.2207845366,709624.820614424,307259.4001701126,0.30215770280421783,15,1054452.93562184,80.54448147609747,290294.6349040998
2018-03-01,1015629.2092067577,704592.1847897475,311037.02441701025,0.3062505701858862,20,1049157.6032496388,233.5504497302301,479624.92612809286
2018-03-02,1015283.1013233317,704592.1847897475,310690.9165335843,0.3060140724578457,20,1043366.5716232845,233.5504497302301,479624.92612809286
