date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2018-01-01,1000000.0,1000000.0,0,0.0,0.0,0,0,999999.9999999999,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-02,1000000.0,1000000.0,0,0.0,0.0,0,0,1007456.3117009286,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-03,1000000.0,1000000.0,0,0.0,0.0,0,0,1012661.239793683,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-04,1000000.0,1000000.0,0,0.0,0.0,0,0,1014811.7210644467,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-05,1000000.0,1000000.0,0,0.0,0.0,0,0,1005512.4213701874,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-08,1000000.0,1000000.0,0,0.0,0.0,0,0,1010330.2549101884,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-09,1000000.0,1000000.0,0,0.0,0.0,0,0,1004308.2928865331,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-10,1000000.0,1000000.0,0,0.0,0.0,0,0,1014426.724867268,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-11,1000000.0,1000000.0,0,0.0,0.0,0,0,1003068.8918869048,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-12,1000000.0,1000000.0,0,0.0,0.0,0,0,1002007.6162322462,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-15,1000000.0,1000000.0,0,0.0,0.0,0,0,1002121.6265586752,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-16,1000000.0,1000000.0,0,0.0,0.0,0,0,990423.7165839574,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-17,1000000.0,1000000.0,0,0.0,0.0,0,0,1006073.6844005784,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-18,1000000.0,1000000.0,0,0.0,0.0,0,0,1019567.9660087199,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-19,1000000.0,1000000.0,0,0.0,0.0,0,0,1015505.7060483953,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-22,1000000.0,1000000.0,0,0.0,0.0,0,0,1022767.5235802517,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-23,1000000.0,1000000.0,0,0.0,0.0,0,0,1026443.8916242316,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-24,1000000.0,1000000.0,0,0.0,0.0,0,0,1002762.0684256726,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-25,1000000.0,1000000.0,0,0.0,0.0,0,0,1005205.3440427172,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-26,1000000.0,1000000.0,0,0.0,0.0,0,0,1004831.3800124901,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-29,1000000.0,1000000.0,0,0.0,0.0,0,0,1005765.2580328091,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-30,1000000.0,1000000.0,0,0.0,0.0,0,0,996243.9001120847,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-01-31,1000000.0,1000000.0,0,0.0,0.0,0,0,994010.7125592633,0.0,0.0,0.0,0.0,0.0,1000000.0
2018-02-01,1000016.2178293902,708348.8814187099,0,291667.3364106804,0.2916626062762923,15,0,992595.9222063938,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1000000.0
2018-02-02,1001665.7699642649,708348.8814187099,0,293316.888545555,0.29282910262174505,15,0,1003447.1517321665,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1003188.5058299998
2018-02-05,1003348.1240697887,708348.8814187099,0,294999.2426510789,0.29401484447342224,15,0,1006653.101671334,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1004127.0592922888
2018-02-06,1003297.9249457079,708348.8814187099,0,294949.04352699796,0.29397952113073367,15,0,1006783.9798413905,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1004165.4428571005
2018-02-07,1005272.1198683518,708348.8814187099,0,296923.23844964197,0.2953660333169554,15,0,1020917.5708442535,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1008309.6224988975
2018-02-08,1003973.3518497222,708348.8814187099,0,295624.4704310123,0.29445449910234495,15,0,1016011.4012625677,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1006878.4026869301
2018-02-09,1004286.859565208,708348.8814187099,0,295937.97814649815,0.29467474888063394,15,0,1012638.9023188005,83.47288804092146,291567.64569324907,0.0,0.0,0.0,1005894.2817740429
