case,period,start,end,trading_days,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar
full,oos_2022_2025,2022-01-04,2025-12-31,969,0.2242148776316677,0.052020642193847166,0.17217711847996847,0.3923732357498195,-0.2791433590458854,0.1863581579431236
full,full_2013_2025,2013-01-04,2025-12-31,3157,3.931181333049925,0.13070829649408977,0.2229682997853963,0.6837556948182887,-0.5057661943654876,0.25843620619616686
without_mom_12_1,oos_2022_2025,2022-01-04,2025-12-31,969,0.010192894917461226,0.0025454668281348347,0.19491597446561165,0.11131693357394701,-0.3654424152782173,0.006965438935699155
without_mom_12_1,full_2013_2025,2013-01-04,2025-12-31,3157,2.3343284796798236,0.09715157072712599,0.2387392970542299,0.5230734441481534,-0.5473662942349147,0.17748913616049436
without_mom_6_1,oos_2022_2025,2022-01-04,2025-12-31,969,0.28079959783039565,0.06400461385163458,0.1663212874118062,0.4709717560041029,-0.24236940173231603,0.26407877147101366
without_mom_6_1,full_2013_2025,2013-01-04,2025-12-31,3157,3.3682161528368804,0.1202044048933999,0.21952898489107012,0.6468376194191651,-0.49787917304157525,0.24143288452711048
without_trend,oos_2022_2025,2022-01-04,2025-12-31,969,0.11640661645208605,0.027988311795415166,0.16039401933298741,0.2594248353516286,-0.25686595051304084,0.1089607701585743
without_trend,full_2013_2025,2013-01-04,2025-12-31,3157,2.871252060352667,0.10983629510180104,0.2192998161157443,0.6033954906854383,-0.5357809822034398,0.20500222805611906
without_low_volatility,oos_2022_2025,2022-01-04,2025-12-31,969,0.2072796458394235,0.04835337272690299,0.17462346410779858,0.3685250102373396,-0.29711186304335535,0.1627446720962708
without_low_volatility,full_2013_2025,2013-01-04,2025-12-31,3157,4.152977284412865,0.1345448118253345,0.2244461923486907,0.6963650384009152,-0.5145451976143949,0.2614829804050833
